,Case Number,Charge Number,Description,Statute,Level,Date
577,C2100230,1,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,05/30/2020
578,C2100230,2,FIRST DEGREE MURDER,39-13-202,Felony M,05/30/2020
579,C2100230,3,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,05/30/2020
580,C2100230,4,FIRST DEGREE MURDER,39-13-202,Felony M,05/30/2020
581,C2005861,1,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
582,C2005861,2,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
583,C2005861,3,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
584,C1905219,1,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
585,C1905219,2,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
586,C1905223,1,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
587,C1905220,1,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
588,C1905222,1,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
589,C1905222,2,CRIMINAL ATTEMPT-AGGRAVATED ROBBERY,39-13-402,Felony C,10/18/2017
590,C1905222,3,CARJACKING,39-13-404,Felony B,10/18/2017
591,C1905222,4,CARJACKING,39-13-404,Felony B,10/18/2017
592,C1905222,5,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,10/18/2017
593,C1905221,1,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
594,C1905221,2,AGGRAVATED ROBBERY,39-13-402,Felony B,10/18/2017
595,C2003592,1,FRD USE/ILL POSS CREDIT C $1000-$2500,39-14-118,Felony E,04/18/2019
596,C2003592,2,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,04/18/2019
597,C2104814,1,AGGRAVATED ROBBERY,39-13-402,Felony B,06/30/2020
598,C2104854,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,04/29/2020
599,C2105172,1,AGGRAVATED ROBBERY,39-13-402,Felony B,04/02/2021
600,C2105176,1,AGGRAVATED ROBBERY,39-13-402,Felony B,04/02/2021
601,C2105176,2,AGGRAVATED ROBBERY,39-13-402,Felony B,04/02/2021
602,C2105177,1,AGGRAVATED ROBBERY,39-13-402,Felony B,04/02/2021
603,C2105178,1,AGGRAVATED ROBBERY,39-13-402,Felony B,04/02/2021
604,C1809872,1,ASSAULT-BODILY HARM,39-13-101,Misdemeanor A,01/29/2018
605,C1809872,2,ASSAULT-BODILY HARM,39-13-101,Misdemeanor A,01/29/2018
606,C1809872,101,TERMINATION OF DIVERSION,NONE,Civil Ordinances,12/07/2020
607,C2006596,1,CONVICTED FELON IN POSS HANDGUN W/P,39-17-1307,Felony C,07/01/2020
608,C2006596,2,RECKLESS ENDANGERMENT-DEADLY WEAPON,39-13-103,Felony E,07/01/2020
609,C2006596,3,HARASSMENT,39-17-308,Misdemeanor A,07/01/2020
610,C2006596,4,HARASSMENT,39-17-308,Misdemeanor A,07/01/2020
611,C2006596,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,12/13/2021
612,C2005366,1,POSSESSION OF DRUG PARAPHERNALIA,39-17-425,Misdemeanor A,07/22/2019
613,C2002262,1,CRIMINAL ATTEMPT-SECOND DEGREE MURDER,39-13-210,Felony B,07/16/2019
614,C2100993,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,07/06/2020
615,C2100993,2,EVADING ARREST,39-16-603,Misdemeanor A,07/06/2020
616,C2104678,1,TAMPERING WITH/FABRICATING EVIDENCE,39-16-503,Felony C,09/19/2020
617,C2005002,1,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,03/25/2020
618,C2105830,1,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,04/25/2021
619,C2105830,2,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,04/25/2021
620,C2105830,3,POSSESSION OF BURGLARY TOOLS,39-14-701,Misdemeanor A,04/25/2021
621,C2103169,1,AGGRAVATED ASSAULT - RECKLESS,39-13-102,Felony D,06/04/2021
622,C2103169,101,TERMINATION OF DIVERSION,NONE,Civil Ordinances,12/01/2021
623,C2102185,1,BURGLARY - BUILDING,39-14-402,Felony D,10/22/2019
624,C2102185,2,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,10/22/2019
625,16 04484-16628715,1,AGGRAVATED ROBBERY,39-13-402,Felony B,07/26/2016
626,C1804919,1,ROBBERY,39-13-401,Felony C,12/13/2017
627,C1804919,2,AGGRAVATED ASSAULT,39-13-102,Felony C,12/13/2017
628,C2101275,1,CRIMINAL ATTEMPT-AGGRAVATED ROBBERY,39-13-402,Felony C,02/16/2021
629,C2101275,2,AGGRAVATED ROBBERY,39-13-402,Felony B,02/16/2021
630,C2101275,3,AGGRAVATED ROBBERY,39-13-402,Felony B,02/16/2021
631,C2000757,1,RAPE,39-13-503,Felony B,06/30/2017
632,C2000757,2,RAPE,39-13-503,Felony B,06/30/2017
633,C2000757,3,RAPE,39-13-503,Felony B,06/30/2017
634,C2000757,4,RAPE,39-13-503,Felony B,06/30/2017
635,C2100790,1,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony D,12/15/2020
636,C2100790,2,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony D,12/15/2020
637,C2100790,3,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,12/15/2020
638,C2100790,4,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,12/15/2020
639,C2100790,5,POSS FIREARM/COMMISSION OF FELONY,39-17-1324,Felony D,12/15/2020
640,C2100790,6,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,12/15/2020
641,C2101124,1,FIRST DEGREE MURDER,39-13-202,Felony M,09/17/2020
642,C2101124,2,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,09/17/2020
643,C2101124,3,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,09/17/2020
644,C2101124,4,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,09/17/2020
645,C2101124,5,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,09/17/2020
646,C2005772,1,CARJACKING,39-13-404,Felony B,04/30/2020
647,C2005772,2,AGGRAVATED ROBBERY,39-13-402,Felony B,04/30/2020
648,C2005772,3,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,04/30/2020
649,C2005772,4,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,04/30/2020
650,C2000243,1,THEFT OF MERCH $1000-$2500,39-14-146,Felony E,11/02/2018
651,C2006567,1,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,04/03/2020
652,C2006567,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,04/03/2020
653,C2006568,1,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,03/26/2020
654,C2006568,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,03/26/2020
655,C2004033,1,SEXUAL BATTERY,39-13-505,Felony E,12/17/2019
656,C2004033,2,SEXUAL BATTERY,39-13-505,Felony E,12/18/2019
657,C2004033,3,SEXUAL BATTERY,39-13-505,Felony E,12/19/2019
658,C2002595,1,CARJACKING,39-13-404,Felony B,12/24/2019
659,C2002595,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/24/2019
660,C2002595,3,INTENT EVADE ARREST AUTO RISK/DEATH,39-16-603,Felony D,12/24/2019
661,C2002595,4,VANDALISM $2500-$10000,39-14-408,Felony D,12/24/2019
662,C2002595,5,RECKLESS ENDANGERMENT-DEADLY WEAPON,39-13-103,Felony E,12/24/2019
663,C2002595,6,EVADING ARREST,39-16-603,Misdemeanor A,12/24/2019
664,C2100578,1,CARJACKING,39-13-404,Felony B,12/19/2020
665,C2100578,2,CARJACKING,39-13-404,Felony B,12/19/2020
666,C2100578,3,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/19/2020
667,C2100577,1,CARJACKING,39-13-404,Felony B,12/19/2020
668,C2100577,2,CARJACKING,39-13-404,Felony B,12/19/2020
669,C2100577,3,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/19/2020
670,C2001880,1,CARJACKING,39-13-404,Felony B,12/24/2019
671,C2001880,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/24/2019
672,C2001880,3,INTENT EVADE ARREST AUTO RISK/DEATH,39-16-603,Felony D,12/24/2019
673,C2001880,4,VANDALISM $2500-$10000,39-14-408,Felony D,12/24/2019
674,C2001880,5,RECKLESS ENDANGERMENT-DEADLY WEAPON,39-13-103,Felony E,12/24/2019
675,C2001880,6,EVADING ARREST,39-16-603,Misdemeanor A,12/24/2019
676,C2102393,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,09/15/2020
677,C2102392,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,05/13/2020
678,C2102392,2,EVADING ARREST,39-16-603,Misdemeanor A,05/13/2020
679,C2104236,1,CARJACKING,39-13-404,Felony B,04/09/2021
680,C2104236,2,AGGRAVATED ROBBERY,39-13-402,Felony B,04/09/2021
681,C2104236,3,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,04/09/2021
682,C2001882,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,07/05/2019
683,C2001885,1,CRIMINAL ATTEMPT-ESPECIALLY AGGRAVATED KIDNAPPING,39-13-305,Felony B,07/08/2019
684,C2001885,2,CRIMINAL ATTEMPT-AGGRAVATED ROBBERY,39-13-402,Felony C,07/08/2019
685,C2100554,1,CARJACKING,39-13-404,Felony B,12/21/2020
686,C2100554,2,CARJACKING,39-13-404,Felony B,12/21/2020
687,C2100554,3,CARJACKING,39-13-404,Felony B,12/21/2020
688,C2100554,4,CARJACKING,39-13-404,Felony B,12/21/2020
689,C2100554,5,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/21/2020
690,C2100554,6,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/21/2020
691,C2100554,7,INTENTIONALLY EVADE ARREST IN AUTO,39-16-603,Felony E,12/21/2020
692,C2100715,1,AGGRAVATED ROBBERY,39-13-402,Felony B,09/21/2020
693,C2102350,1,AGGRAVATED ROBBERY,39-13-402,Felony B,10/13/2020
694,C2102350,2,AGGRAVATED BURGLARY-ACT IN CONCERT,39-14-403,Felony B,10/13/2020
695,C2102350,3,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,10/13/2020
696,C2102350,4,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,10/13/2020
697,C2104237,4,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,04/03/2021
698,C2104237,6,EVADING ARREST,39-16-603,Misdemeanor A,04/03/2021
699,C2102394,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,09/15/2020
700,C2004744,1,CARJACKING,39-13-404,Felony B,04/23/2020
701,C2004744,2,AGGRAVATED ROBBERY,39-13-402,Felony B,04/23/2020
702,C2004744,5,INTENTIONALLY EVADE ARREST IN AUTO,39-16-603,Felony E,04/23/2020
703,C2104339,1,AGGRAVATED RAPE OF A CHILD,39-13-531,Felony A,07/01/2020
704,C2104339,2,RAPE OF A CHILD,39-13-522,Felony A,03/10/2019
705,C2104339,3,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,03/10/2019
706,C2104339,4,SOLICTING SEXUAL EXPLOIT OF CHILD,39-13-529,Felony C,03/10/2019
707,C2003491,1,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,03/11/2020
708,C2002743,1,RAPE OF A CHILD,39-13-522,Felony A,11/29/2019
709,C2101838,1,AGGRAVATED ASSAULT,39-13-102,Felony C,05/08/2020
710,C2101838,2,VANDALISM $1000 OR LESS,39-14-408,Misdemeanor A,05/08/2020
711,C2101839,1,FIRST DEGREE MURDER,39-13-202,Felony M,11/19/2020
712,C2101839,2,AGGRAVATED ASSAULT,39-13-102,Felony C,11/19/2020
713,C2101839,3,CONVICTED FELON IN POSS OF FIREARM,39-17-1307,Felony C,11/19/2020
714,C2101716,1,RAPE OF A CHILD,39-13-522,Felony A,06/05/2020
715,C2004135,1,RAPE OF A CHILD,39-13-522,Felony A,09/13/2018
716,C2004135,2,RAPE OF A CHILD,39-13-522,Felony A,09/13/2018
717,C1906188,1,AGGRAVATED ASSAULT,39-13-102,Felony C,03/01/2019
718,C1906188,2,AGGRAVATED ASSAULT,39-13-102,Felony C,03/01/2019
719,C1906188,3,AGGRAVATED ASSAULT,39-13-102,Felony C,03/01/2019
720,C2001789,1,FIRST DEGREE MURDER,39-13-202,Felony M,09/17/2019
721,C2001789,2,CRIMINAL ATTEMPT-AGGRAVATED ROBBERY,39-13-402,Felony C,09/17/2019
722,C2001138,1,AGGRAVATED ROBBERY,39-13-402,Felony B,09/06/2019
723,C2001141,1,AGGRAVATED ROBBERY,39-13-402,Felony B,09/18/2019
724,C2001027,1,UNLAWFUL POSS WEAPON-PUBLIC PLACE,39-17-1307,Misdemeanor A,08/21/2019
725,C1908180,1,LEAVE SCENE OF ACCIDENT INV INJURY,55-10-101,Misdemeanor A,02/23/2019
726,C1908180,102,TERMINATION OF DIVERSION,NONE,Civil Ordinances,03/17/2021
727,C2005385,1,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,09/21/2019
728,C2005385,2,FIRST DEGREE MURDER,39-13-202,Felony M,09/21/2019
729,C2005385,3,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,09/21/2019
730,C2005385,4,FIRST DEGREE MURDER,39-13-202,Felony M,09/21/2019
731,C2103466,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,09/02/2020
732,C2103466,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,09/02/2020
733,C2103385,1,RAPE OF A CHILD,39-13-522,Felony A,10/01/2020
734,C2103385,2,RAPE,39-13-503,Felony B,10/01/2020
735,C2103385,3,SEXUAL BATTERY,39-13-505,Felony E,10/01/2020
736,C2103385,4,CRIMINAL ATTEMPT-RAPE,39-13-503,Felony C,10/01/2020
737,W1600940-16131175,1,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony D,10/11/2016
738,W1600940-16131175,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,01/08/2021
739,C2105337,1,AGGRAVATED ASSAULT,39-13-102,Felony C,09/04/2021
740,C2105383,1,ROBBERY-ACT IN CONCERT,39-13-401,Felony B,01/20/2021
741,C2105383,2,AGGRAVATED ROBBERY,39-13-402,Felony B,01/20/2021
742,C2105238,1,AGGRAVATED ASSAULT,39-13-102,Felony C,07/10/2021
743,C2105238,2,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,07/10/2021
744,C2105238,3,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,07/10/2021
745,C2105238,4,ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony A,07/10/2021
746,C2105238,5,FIRST DEGREE MURDER,39-13-202,Felony M,07/10/2021
747,C2105238,6,FIRST DEGREE MURDER,39-13-202,Felony M,07/10/2021
748,C2105238,7,ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony A,07/10/2021
749,C1900251,1,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,03/01/2018
750,C1600913,1,CRIMINAL ATTEMPT-POSS CONT SUB W/I MAN/SELL,39-17-417,Felony C,04/12/2016
751,C1600913,2,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony B,04/12/2016
752,C1600913,3,CRIMINAL ATTEMPT-POSS CONT SUB W/I MAN/SELL,39-17-417,Felony C,04/12/2016
753,C1600913,4,POSS COCAINE W/I MANUF/SELL/DEL,39-17-417,Felony B,04/12/2016
754,C1600913,5,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony C,04/12/2016
755,C1600913,6,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony C,04/12/2016
756,C1600913,7,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony C,04/12/2016
757,C1600913,8,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony C,04/12/2016
758,C1600913,9,POSS OF CONT SUBSTANCE MARIJUANA,39-17-418,Misdemeanor A,04/12/2016
759,C1600913,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,09/01/2021
760,C2104843,1,FIRST DEGREE MURDER,39-13-202,Felony M,07/21/2021
761,C2104843,2,CRIM ATT-ESP AGGRAVATED ROBBERY,39-13-403,Felony B,07/21/2021
762,C2104843,3,CRIM ATT-FIRST DEGREE MURDER,39-13-202,Felony A,07/21/2021
763,C2104843,4,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,07/21/2021
764,C2104843,5,CRIM ATT-ESP AGGRAVATED ROBBERY,39-13-403,Felony B,07/21/2021
765,C2104843,6,CRIM ATT-FIRST DEGREE MURDER,39-13-202,Felony A,07/21/2021
766,C2104843,7,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,07/21/2021
767,C2104843,8,CRIM ATT-ESP AGGRAVATED ROBBERY,39-13-403,Felony B,07/21/2021
768,C2104843,9,RECKLESS ENDANGERMENT W/DEADLY WEAP,39-13-103,Felony C,07/21/2021
769,C2104840,1,FIRST DEGREE MURDER,39-13-202,Felony M,12/01/2020
770,C2104840,2,CRIMINAL ATTEMPT-ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony B,12/01/2020
771,C2104840,3,CRIM ATT-FIRST DEGREE MURDER,39-13-202,Felony A,12/01/2020
772,C2104840,4,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/01/2020
773,C2104840,5,CRIMINAL ATTEMPT-ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony B,12/01/2020
774,C2104840,6,CRIM ATT-FIRST DEGREE MURDER,39-13-202,Felony A,12/01/2020
775,C2104840,7,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/01/2020
776,C2104840,8,CRIMINAL ATTEMPT-ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony B,12/01/2020
777,C2104840,9,RECKLESS ENDANGERMENT W/DEADLY WEAP,39-13-103,Felony C,12/01/2020
778,C2105060,1,AGGRAVATED ASSAULT,39-13-102,Felony C,09/20/2020
779,C2105060,2,AGGRAVATED ASSAULT,39-13-102,Felony C,09/20/2020
780,C2104779,1,RECKLESS HOMICIDE,39-13-215,Felony D,04/27/2021
781,C2000242,1,FALSE OFFENSE REPORT,39-16-502,Felony D,06/09/2019
782,C2000242,2,THEFT OF MERCH $1000-$2500,39-14-146,Felony E,06/09/2019
783,C2103271,1,VANDALISM $1000 OR LESS,39-14-408,Misdemeanor A,03/20/2020
784,C2103251,1,INTENTIONALLY EVADE ARREST IN AUTO,39-16-603,Felony E,11/02/2020
785,C2104238,4,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,04/03/2021
786,C2104238,5,INTENTIONALLY EVADE ARREST IN AUTO,39-16-603,Felony E,04/03/2021
787,C2104238,6,EVADING ARREST,39-16-603,Misdemeanor A,04/03/2021
788,C2002589,1,CARJACKING,39-13-404,Felony B,12/24/2019
789,C2002589,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/24/2019
790,C2002589,3,INTENT EVADE ARREST AUTO RISK/DEATH,39-16-603,Felony D,12/24/2019
791,C2002589,4,VANDALISM $2500-$10000,39-14-408,Felony D,12/24/2019
792,C2002589,5,RECKLESS ENDANGERMENT-DEADLY WEAPON,39-13-103,Felony E,12/24/2019
793,C2002589,6,EVADING ARREST,39-16-603,Misdemeanor A,12/24/2019
794,C2001881,1,CARJACKING,39-13-404,Felony B,12/24/2019
795,C2001881,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,12/24/2019
796,C2001881,3,INTENT EVADE ARREST AUTO RISK/DEATH,39-16-603,Felony D,12/24/2019
797,C2001881,4,VANDALISM $2500-$10000,39-14-408,Felony D,12/24/2019
798,C2001881,5,RECKLESS ENDANGERMENT-DEADLY WEAPON,39-13-103,Felony E,12/24/2019
799,C2001881,6,EVADING ARREST,39-16-603,Misdemeanor A,12/24/2019
800,C2102395,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,12/20/2020
801,C2001883,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,07/08/2019
802,C2001884,1,CRIMINAL ATTEMPT-ESPECIALLY AGGRAVATED KIDNAPPING,39-13-305,Felony B,07/08/2019
803,C2001884,2,CRIMINAL ATTEMPT-AGGRAVATED ROBBERY,39-13-402,Felony C,07/08/2019
804,C2105481,1,AGGRAVATED ASSAULT,39-13-102,Felony C,04/03/2021
805,C2105481,2,AGGRAVATED ASSAULT,39-13-102,Felony C,04/03/2021
806,C2105481,3,AGGRAVATED ASSAULT,39-13-102,Felony C,04/03/2021
807,C2105481,4,RECKLESS ENDANGERMENT-DEADLY WEAPON,39-13-103,Felony E,04/03/2021
808,C2002452,1,UPCS-W/I METH,39-17-434,Felony B,07/11/2019
809,C2002452,2,UPCS-W/I METH,39-17-434,Felony B,07/11/2019
810,C2002452,3,POSS FIREARM/COMMISSION OF FELONY,39-17-1324,Felony D,07/11/2019
811,C2002452,4,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,07/11/2019
812,C2002452,5,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,07/11/2019
813,C2002514,1,CARJACKING,39-13-404,Felony B,06/10/2019
814,C2002514,2,CARJACKING,39-13-404,Felony B,06/10/2019
815,C2002514,7,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,06/10/2019
816,C2002514,8,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,06/10/2019
817,C2002508,1,CARJACKING,39-13-404,Felony B,06/10/2019
818,C2002508,2,CARJACKING,39-13-404,Felony B,06/10/2019
819,C2002508,3,AGGRAVATED ROBBERY,39-13-402,Felony B,06/10/2019
820,C2002508,4,AGGRAVATED ROBBERY,39-13-402,Felony B,06/10/2019
821,C2002508,5,AGGRAVATED ROBBERY,39-13-402,Felony B,06/10/2019
822,C2002508,6,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,06/10/2019
823,C2002508,7,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,06/10/2019
824,C2002508,8,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,06/10/2019
825,C2105612,1,AGGRAVATED ROBBERY,39-13-402,Felony B,06/22/2021
826,C1800802,1,FIRST DEGREE MURDER,39-13-202,Felony M,06/05/2016
827,C1800802,2,FIRST DEGREE MURDER,39-13-202,Felony M,06/05/2016
828,C1800802,3,FIRST DEGREE MURDER,39-13-202,Felony M,06/05/2016
829,C1800802,4,FIRST DEGREE MURDER,39-13-202,Felony M,06/05/2016
830,C1800802,5,FIRST DEGREE MURDER,39-13-202,Felony M,06/05/2016
831,C1800802,6,CRIM ATT-FIRST DEGREE MURDER,39-13-202,Felony A,06/05/2016
832,C1800802,7,CRIM ATT-FIRST DEGREE MURDER,39-13-202,Felony A,06/05/2016
833,C1800802,8,VEHICULAR HOMICIDE - RECKLESS,39-13-213,Felony C,06/05/2016
834,C1800802,9,INTENT EVADE ARREST AUTO RISK/DEATH,39-16-603,Felony D,06/05/2016
835,C1800802,10,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,06/05/2016
836,C1800802,11,THEFT OF PROPERTY $1000-$10000,39-14-103,Felony D,06/05/2016
837,C1800802,12,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,06/05/2016
838,C1800802,13,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,06/05/2016
839,C1800802,101,APPEAL,11-11-1111,Civil Ordinances,10/18/2021
840,C1901067,1,AGGRAVATED KIDNAPPING,39-13-304,Felony B,08/03/2018
841,C1901067,2,AGGRAVATED KIDNAPPING,39-13-304,Felony B,08/03/2018
842,C1901067,3,AGGRAVATED KIDNAPPING,39-13-304,Felony B,08/03/2018
843,C1901067,4,AGGRAVATED ASSAULT,39-13-102,Felony C,08/03/2018
844,C1901067,5,AGGRAVATED ASSAULT,39-13-102,Felony C,08/03/2018
845,C1901067,6,AGGRAVATED ASSAULT,39-13-102,Felony C,08/03/2018
846,C1901067,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,02/03/2021
847,C1910050,1,POSS CONT SUBST METH,39-17-418,Misdemeanor A,10/03/2018
848,C1910050,2,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony B,10/03/2018
849,C1910050,3,POSS CONT SUBST METH,39-17-418,Misdemeanor A,10/03/2018
850,C1910050,4,UPCS-W/I METH,39-17-434,Felony B,10/03/2018
851,C1910050,101,PETITION TO SUSPEND REM OF SENTENCE,40-21-103,Civil Ordinances,02/03/2021
852,C2000096,1,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,03/13/2019
853,C2000096,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,03/13/2019
854,C2000096,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,02/03/2021
855,C1700214,1,AGGRAVATED BURGLARY,39-14-403,Felony C,06/20/2016
856,C1700214,2,THEFT OF PROPERTY $1000-$10000,39-14-103,Felony D,06/20/2016
857,C1700214,101,TERMINATION OF DIVERSION,NONE,Civil Ordinances,04/13/2018
858,C1700214,102,TERMINATION OF DIVERSION,NONE,Civil Ordinances,07/18/2018
859,C1700214,103,TERMINATION OF DIVERSION,NONE,Civil Ordinances,10/05/2020
860,10 03468-10613811,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,05/14/2009
861,10 03468-10613811,101,TERMINATION OF DIVERSION,NONE,Civil Ordinances,01/04/2022
862,C1909351,1,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,10/05/2015
863,C1909351,2,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,08/04/2016
864,C1909351,3,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,11/08/2016
865,C1909351,4,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,05/01/2018
866,C1909351,5,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,08/02/2018
867,C1909351,6,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,11/06/2018
868,C1909351,7,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,10/08/2015
869,C1909351,8,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,08/04/2016
870,C1909351,9,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,11/08/2016
871,C1909351,10,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,05/01/2018
872,C1909351,11,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,08/02/2018
873,C1909351,12,ILLEGAL REGISTRATION OR VOTING,2-19-107,Felony D,11/06/2018
874,C1909351,13,FALSIFY ENTRY ON ELECTION DOCUMENT,2-19-109,Felony D,09/03/2019
875,C1909351,14,PERJURY,39-16-702,Misdemeanor A,09/03/2019
876,15 04236-15632892,1,THEFT OF PROPERTY $60000 OR MORE,39-14-103,Felony B,09/02/2015
